sector_name,sector_id,weighing,inv_depr_rate,output_per_machine,good_unit_cost,emissions_per_unit,emission_sensitivity_mean,emission_allowance
Food_&_non-alcoholic_beverages,0.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,96000.0
Alcohol_&_tobacco,1.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,35000.0
Clothing_&_footwear,2.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,48000.0
Housing_&_household_services,3.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,303000.0
Furniture_&_household_goods,4.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,56000.0
Health,5.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,18000.0
Transport,6.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,111000.0
Communication,7.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,19000.0
Recreation_&_culture,8.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,112000.0
Education,9.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,23000.0
Restaurants_&_hotels,10.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,112000.0
Miscellaneous_goods_&_services,11.0,0.08333333333333333,0.01,100.0,1.0,50.0,0.1,67000.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,0.096,,,
,,,,,0.035,,,
,,,,,0.048,,,
,,,,,0.303,,,
,,,,,0.056,,,
,,,,,0.018,,,
,,,,,0.111,,,
,,,,,0.019,,,
,,,,,0.112,,,
,,,,,0.023,,,
,,,,,0.112,,,
,,,,,0.067,,,
